5,Пользуюсь уже 4 года. Нареканий нет, если буду обновлять мышь, то на эту же модель. Подсветка самая четкая, что я когда либо видел. Сенсор еще ни разу не подводил. Запрограммировал ее на второе ядро в программе. И больше софтом не пользовался. Она в своей памяти свои настройки помнит. Не знаю, о какой желтой подсветки говорят другие. Но желтого светодиода там нет. Есть зеленые, синие, красные и розовый
5,Мне интересно а когда будет товар?
1,Минус реально только один - работа подсветка. Можно настроить только яркость или и вовсе ее выключить, но не цвета. Картинка на сайте не соответствует модели. У модели A60 - есть надпись bloody в светящийся руке снизу. Также в реальности из-за невозможности настроить цвета - нижняя рука будет светиться желтым цветом, что не соответствует фотографиям на сайте розетки, а также производителя. Даже световой эффект "Неоновое свечение" - не работает. Ну т.е. работает, до тех пор пока не сдвинешь мышь с места, после, мерцания не будет, чтобы вы не делали или делали. Купил эту мышь только из-за подсветки заявленной на фотографиях(которой в итоге не оказалось), отсюда и негативная оценка. Функционал у мыши такой же как и у x7, не считая читерных платных функций.
5,Варто брати ???
5,Подскажите, чтобы она светилась дрова нужно устанавливать? ( Сори за тупой вопрос, не шарю прост )
5,Очень хорошая мышка, все удобно, рука удобно сидит на мышке
5,Можно ли выставить 400 dpi
5,На мак ос подходит?
5,Мишка дуже зручна,все приємно нажимається,підсвітка дуже ефектно дивиться
5,Как менять цвет подсветки?)
5,Дрова на 10 віндовс треба вручну скачати?
